city_code,length,lane,cond,light,eye,rev,adj
110000,66648,79,84,41,260,7,256
120000,16424,14,20,8,41,0,44
130100,24274,1,12,0,24,0,64
130200,10774,0,4,0,1,0,11
130400,34461,5,7,0,27,0,54
130500,4986,0,0,0,10,0,17
130600,40786,3,71,5,24,0,116
130800,17797,1,0,0,11,0,33
130900,28959,2,16,6,35,2,52
131000,17936,4,5,3,33,2,45
140400,14611,1,10,0,26,3,46
140600,14195,3,0,0,18,1,26
140800,5845,6,2,0,4,0,18
141100,5414,0,1,0,0,0,3
150200,13723,0,2,0,10,0,18
150400,13297,3,9,0,5,0,5
150500,23677,6,7,9,34,1,40
150600,5154,0,4,0,0,0,10
150700,8039,0,2,0,1,0,36
150800,5193,4,3,3,11,1,14
152500,16748,2,4,0,2,0,1
210200,35744,97,64,24,94,4,124
210300,11029,0,2,0,0,0,4
210600,45955,44,28,54,157,13,160
210700,7115,0,0,0,1,0,14
210800,30429,40,8,33,35,6,70
210900,3337,0,0,0,2,0,5
211400,20109,0,2,0,1,0,21
220100,24991,39,18,15,29,3,30
220600,26898,21,23,20,63,20,124
220700,27004,3,8,0,0,0,25
230100,38957,0,0,0,48,0,65
230500,36546,17,7,17,55,4,68
230600,32552,44,26,49,135,3,96
230800,14585,0,0,0,1,0,5
231100,53918,1,13,1,26,7,45
231200,21505,2,2,8,9,8,59
310000,33313,37,15,41,169,1,100
320100,35577,73,109,78,235,6,147
320300,37241,30,20,24,134,1,111
320400,34877,57,21,33,106,7,76
320500,36116,77,75,48,239,7,82
320600,25301,56,45,49,86,9,104
320700,2728,0,2,0,2,0,7
320800,42939,63,46,32,157,2,118
320900,37532,45,28,4,56,0,60
321000,13798,27,16,30,35,0,24
321100,7700,2,1,3,9,1,14
321200,8717,0,12,0,14,0,24
330100,34396,195,223,118,359,0,144
330200,9665,24,3,16,2,0,26
330300,483,0,0,0,1,0,2
330400,53628,94,117,78,273,7,176
330500,3754,0,12,0,6,0,7
330600,62928,15,24,13,107,0,110
330700,44065,46,30,12,113,4,116
330800,16370,33,50,11,156,0,47
331000,26100,0,14,0,31,0,53
331100,4913,0,0,0,2,0,2
340100,41837,80,43,64,122,11,94
340500,35966,64,41,39,94,2,94
340800,31872,3,2,0,16,0,25
341000,16601,44,20,5,30,9,57
341200,2370,2,0,0,1,0,4
341300,35494,14,23,6,23,2,90
341600,7452,7,0,4,17,0,23
350100,7666,37,19,15,49,5,28
350200,14935,24,27,5,39,4,62
350300,53925,131,64,26,132,23,188
350400,19471,35,35,0,45,4,55
350800,15667,7,2,0,8,0,17
350900,9719,3,11,0,15,0,8
360100,12664,4,4,3,10,0,23
360200,23659,4,4,0,4,0,24
360700,43435,69,39,21,111,9,113
360900,16922,0,2,0,1,0,10
361000,10393,0,0,0,7,0,19
361100,7147,0,2,0,4,0,15
370100,104740,225,145,94,366,14,333
370200,97194,135,110,98,510,21,420
370300,1048,0,0,0,3,0,1
370400,4192,0,0,0,0,0,14
370500,43524,14,14,2,21,2,82
370600,24521,18,10,20,30,11,66
370700,22648,0,8,0,9,0,36
371000,62176,72,78,46,129,18,173
371100,7057,0,0,0,7,0,18
371300,21653,3,2,4,13,0,42
371500,13491,28,10,6,20,2,26
371600,3816,0,0,0,6,0,2
410100,15782,22,8,18,21,16,43
410200,5012,0,0,0,11,0,2
410400,19798,3,4,0,9,2,41
410500,7013,0,2,1,8,0,12
410700,46746,39,184,48,123,7,129
411200,7333,5,1,4,25,1,17
411300,13289,0,7,0,3,0,27
411400,9845,5,8,0,11,0,34
411500,18788,0,2,0,17,0,34
411600,14089,4,0,0,9,0,30
411700,40108,2,3,1,17,0,67
420100,72810,177,174,126,305,11,199
420200,1028,0,0,0,6,0,3
420500,27717,62,29,24,28,17,106
420600,43778,49,26,15,32,5,61
421100,3051,0,0,0,2,0,3
421200,15883,2,7,0,9,2,23
422800,17572,6,4,0,31,0,52
429000,21623,17,12,4,7,1,36
430100,31209,55,38,49,44,3,56
430300,15128,1,11,0,11,0,13
430400,2535,0,0,0,3,0,5
430700,14509,0,10,0,16,0,16
431100,16501,0,2,0,11,0,28
431300,1412,0,0,0,2,0,1
433100,15699,0,0,0,1,0,6
440100,106539,325,266,137,455,31,433
440200,30887,9,47,2,22,0,33
440300,17569,95,51,30,101,6,99
440500,27754,20,17,4,47,3,120
440700,3699,0,0,0,4,0,5
440800,8703,1,3,2,2,0,20
440900,3704,12,1,0,8,0,4
441200,8094,4,0,0,1,0,12
441300,23100,17,20,0,6,0,37
441400,9739,5,8,0,16,0,12
441500,1060,0,0,0,0,0,2
441900,35788,74,26,18,121,0,129
445100,138,0,0,0,1,0,1
445200,13660,0,0,0,8,0,19
450100,16245,2,10,0,6,0,41
450200,634,3,2,0,0,2,2
450800,2905,0,6,0,3,0,3
451100,13225,1,4,0,21,0,24
451200,11922,0,3,0,0,0,16
500000,43522,69,76,24,80,1,40
510100,39387,52,39,36,46,4,86
510500,21556,0,24,0,13,0,6
510600,6783,0,0,0,1,0,7
510900,18319,11,10,4,3,0,35
511100,26043,15,7,1,4,2,38
511300,17313,0,20,0,17,0,39
511400,14528,6,10,0,4,0,21
511700,24896,4,14,0,8,0,31
511900,21931,24,13,13,37,5,42
513200,4207,0,2,0,1,0,0
513300,18014,3,7,0,5,0,2
513400,36596,26,17,35,90,0,49
520300,26602,23,25,5,14,0,43
520500,1838,0,0,0,5,0,3
522600,3952,0,6,0,2,0,6
530100,55277,247,219,61,514,12,286
530500,27717,62,35,15,20,11,114
530600,17582,2,8,0,1,0,10
530800,18090,5,0,0,0,0,9
530900,12588,1,9,0,6,0,2
532600,11135,0,6,0,13,0,13
540100,4112,0,0,0,4,0,2
610100,7870,12,4,8,13,2,16
610200,5251,0,0,0,1,0,1
610400,19398,0,8,4,11,0,49
610500,26562,27,24,0,0,17,52
610600,43103,1,4,0,15,0,28
610700,8597,0,2,0,6,0,20
610800,210,0,6,0,0,0,0
610900,1037,0,1,0,0,0,0
620100,23153,77,69,49,133,5,71
620500,4286,0,3,0,4,0,6
620600,5726,0,0,0,9,0,7
621100,17637,25,22,0,25,0,7
621200,4526,0,0,0,0,0,3
622900,35884,29,47,29,114,3,105
630100,3387,0,7,0,4,0,4
632500,6204,0,2,0,0,0,0
640100,4612,0,0,0,6,0,13
640200,17520,28,40,13,27,2,53
640300,4466,1,0,0,1,0,7
640500,1207,0,0,0,0,0,0
650100,1496,0,0,0,19,0,2
650400,31629,78,11,59,42,0,71
652300,42145,0,14,0,28,0,38
652900,14670,0,2,0,16,0,22
653100,9650,0,0,0,30,0,11
653200,5994,0,0,0,21,0,7
654000,1585,1,0,0,0,0,0
654300,18356,17,86,19,139,1,103
659000,1928,0,0,0,4,0,5
